,Text,Aspect,Explanations
0,Once it happens there is no going back and you are stuck in an empty void of darkness forever,4,empty void of darkness
1,Now i am filled with guilt and stuck feeling like crap,4,filled with guilt and stuck feeling like crap
2,And i got home and the voices returned and kept telling me i was piece of shit,4,piece of shit
3,"Before her I survived since shit, sexual assaults and the like",1,sexual assaults
4,"I feel like there are only three things that you absolutely cannot be, dumb, ugly, and useless",1,"ugly, dumb, and useless"
5,"I've gotten through life fairly well being able to somewhat accept the dumb and ugly part, I tried to blame it on other factors for a while but they're just an integral part of who I am",1,"ugly, dumb"
357,"I feel sad, anxious, nervous and still have panic attacks",4,"anxious, panic attack, nervous"
358,I've been to a mental hospital for appointments and medication but I want to be sectioned instead of forced to live in the normal everyday life that everyone else is living,1,"appointments, medication"
359,"i had a psychiatrist appointment scheduled on the 7th, but my dad found out and is in a fight with my mom about it, who keeps coming into my room to tell me its all my fault because i don't want to try to convince my father that i DESERVE to seek treatment for already diagnosed depression and ocd",1,diagnosed depression and ocd
360,"Is accepting your depression bad? I‚Äôve tried therapy and drugs, they didn‚Äôt work and I‚Äôve found that I prefer myself unmedicated anyway",1,"unmedicated anyway, tried therapy and drugs"
361,i shouldn't be constantly in and out of mental hospitals,1,mental hospitals
923,I'm in 40k debt with a shit grade,2,40k debt
924,"Financial shit is what got me out of the cheapest university that I could go into, and it's what's keeping me from even going to community at the moment",2,"Financial shit, out of the cheapest university"
925,"I have job experience and I'm not unemployed, thank god for that, but I'm just feeling depressed and reminiscing about my past and what I could've changed about it, although, there was little room for it",2,unemployed
926,Because of it my doctors have removed me from any school and I'm to tired to do most things,2,removed me from any school
927,"Lately I've been panicking over the realization that I'm dumb as a brick, and I haven't achieved anything in my life",2,haven't achieved anything in my life
928,My teen years were spent playing videogames,2,teen years were spent playing videogames
929,I have no career direction,2,have no career direction
1665,"I feel lonely because it's another NYE and it just reminds me that I've gone another year without finding anyone to connect with, share life with",3,feel lonely
1666,It feels like nobody cares anymore,3,nobody cares anymore
1667,"I wanted to be with my GF for New Year‚Äôs Eve, and she doesn‚Äôt want to",3,wanted to be with my GF for New Year
1668,"Anyone else spending the night alone? I'm just gonna fry me up some pork chops, smoke some bud, and play video games",3,spending the night alone
1674,I just feel like I may never be accepted,3,may never be accepted
2602,"Cruelty can be administered through rejecting someone, but by ignoring them you take away their worth",4,"rejecting someone, by ignoring"
2603,Those who have been unfortunately mentally wired wrong and those who have experienced some awful trauma or emotional pain,4,experienced some awful trauma or emotional pain
2604,"i'm not happy, sad, angry, in fact i am calm just calm and respectful of my environment but i feel so ''numb'' and disconnected",4,"not happy, sad, angry, disconnected"
2605,He always believes that there's no light at the end of the tunnel and that he'll never be happy no matter what he does,4,never be happy
2606,"A sincere cry for help makes you an ""Attention Whore"" apparently",4,cry for help
3089,I believe that I am selfish and feel because I haven‚Äôt done what I have wanted in my life I am inauthentic,4,selfish
3090,"i dont wanna die, i want to live to be happy to not cry everyday o have friends to date and stuff but i dont know how and i feeli like i dont deserve do be happy or loved by anyone and it hurts, idk what to do anymore everyday is just so boring and sad and even when i have a good time i know it wont happen again so i just get sad and sadder everyday im afraid of everything and i know everyone's life would be better than me im just useless and i hate myself for not giving up of it all",4,hate myself
3091,"Fuck I really hate myself, I get upset over the tiniest stupidest things",4,hate myself
